Keywords,Utterance,Response
"hello, hi, greet","hello, hi, hey, greetings","Hello! I am your note and creativity assistant. How can I help you today?"
"bye, goodbye, exit","bye, goodbye, see you","Goodbye! Stay creative and keep learning."
"thanks, thank you","thanks, thank you so much","You're welcome! Keep up the good work."
"books, reading, novel","recommend a book, what should i read","Choose a genre you enjoy. Reading daily strengthens your vocabulary and thinking."
"library, borrow books","where can i get books","Visit a library or use digital platforms to access a wide range of books."
"stationery, supplies","what stationery do i need","Basic tools include notebooks, pens, pencils, erasers, and highlighters."
"pens, writing tools","which pen is best","Gel pens are smooth, ballpoint pens last longer, and fountain pens improve handwriting."
"notebooks, paper","which notebook should i use","Use ruled notebooks for writing, grid for math, and plain for drawing."
"highlighters, marking","how to use highlighters","Highlight only key points to avoid clutter and improve revision efficiency."
"notes, studying","how do i take good notes","Use headings, bullet points, and summaries. Keep your notes structured."
"revision, review","how to revise notes","Review regularly and summarize topics in your own words."
"planner, organization","should i use a planner","Yes, planners help you manage tasks and deadlines effectively."
"time management, study","how to manage study time","Break tasks into small sessions and follow a consistent schedule."
"focus, concentration","i can't focus while studying","Remove distractions and study in short, focused intervals."
"motivation, study","i feel unmotivated to study","Start small. Action creates momentum, not the other way around."
"drawing, sketching","how to start drawing","Begin with basic shapes and practice consistently."
"art tools, drawing","what tools do i need for drawing","Use pencils, erasers, sketchbooks, and shading tools."
"shading, technique","how to shade drawings","Use light strokes and build layers gradually for depth."
"colouring, coloring","how to colour properly","Stay within lines and blend colours smoothly."
"crayons, colouring tools","are crayons good","Crayons are great for beginners and simple colouring work."
"coloured pencils","how to use coloured pencils","Layer colours lightly and blend for a smooth finish."
"markers, pens","are markers good for colouring","Markers give bold colours but require careful control."
"sketchbook, art book","should i use a sketchbook","Yes, it helps track progress and practice regularly."
"handwriting, writing","how to improve handwriting","Write slowly, maintain spacing, and practice consistently."
"calligraphy, lettering","how to learn calligraphy","Start with basic strokes and practice letter formation daily."
"sticky notes, reminders","how to use sticky notes","Use them for quick reminders and key points."
"flashcards, memory","how to use flashcards","Write questions on one side and answers on the other."
"reading habit","how to build a reading habit","Read a few pages daily and increase gradually."
"fiction, stories","why read fiction","Fiction improves imagination and empathy."
"non-fiction, knowledge","why read non-fiction","It builds knowledge and real-world understanding."
"ebooks, digital reading","are ebooks good","Ebooks are convenient and portable for reading anywhere."
"study space, desk","how to organize my desk","Keep only essential items and maintain a clean workspace."
"creativity, ideas","how to be more creative","Practice regularly and expose yourself to new ideas."
"doodles, simple art","is doodling useful","Yes, doodling improves creativity and focus."
"practice, improvement","how to improve skills","Consistent practice leads to mastery over time."
"mistakes, learning","i make mistakes while drawing","Mistakes are part of learning. Analyze and improve."
"colour theory","how to choose colours","Use complementary colours for balance and contrast."
"revision notes","how to simplify notes","Summarize key ideas and remove unnecessary details."
"bullet journal","what is a bullet journal","It is a system to organize tasks, notes, and goals creatively."
"goal setting","how to set study goals","Set clear, achievable and time-bound goals."
"discipline, routine","how to stay disciplined","Follow a routine and stick to it consistently."
"reading speed","how to read faster","Avoid subvocalization and practice scanning text."
"comprehension","how to understand what i read","Take notes and summarize after reading."
"sketching faces","how to draw faces","Start with proportions and basic guidelines."
"landscape drawing","how to draw scenery","Use perspective and layering techniques."
"colour blending","how to blend colours","Use gradual layering and light pressure."
"pen vs pencil","should i use pen or pencil","Use pencil for drafts and pen for final work."
"eraser, corrections","how to fix mistakes","Use a soft eraser and redraw carefully."
"inspiration, art","where to get inspiration","Observe your environment and study other artworks."
"consistency, habits","how to stay consistent","Create a routine and stick to it daily."
